host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
13,Fukuda,2021/2/28,,,within an hour,1.00 ,1.00 ,f,Flushing,32,32,['phone'],t,t
14,Madhu,2012/3/5,"New York, NY",Living in New York.,within a day,1.00 ,0.07 ,f,Midtown,1,3,"['email', 'phone', 'work_email']",t,t
15,Harton,2021/8/12,"New York, NY","Please feel free to reach out for any questions you may have. Our co-host, Oliver, will be in touch. We look forward to your stay with us.",within a day,0.81 ,0.70 ,f,,7,11,"['email', 'phone']",t,t
16,Untitled,2017/11/16,"New York, NY","We are UNTITLED 3 freeman alley!
Urban hotel rooms in the heart of New York City. Located in the lower east side. Freeman alley. Everything you need for your next stay. ",within an hour,1.00 ,1.00 ,t,Greenpoint,200,212,"['email', 'phone']",t,t
17,Justin,2020/10/14,"New York, NY",,within an hour,0.99 ,1.00 ,t,,101,106,"['email', 'phone']",t,t
18,Ilan,2015/11/7,"New York, NY","We are a bilingual (Spanish and English)family of four made up of two dads, our daughter Ellie, and son David. We like to get away and relax on vacation and explore the world, eat good food, find quiet beaches, and meet new people. 

Thank you for sharing your home with us.  When you come to Brooklyn NY we hope that you will find our home a relaxing and special place to help you explore the greatest city on earth!
",within a day,0.71 ,0.63 ,f,,1,2,"['email', 'phone']",t,t
19,Blueground,2016/12/16,"New York, NY","We鈥檙e Blueground, a global proptech company with several thousand move-in-ready apartments in a growing number of major cities around the world. With flexible terms and homes in vibrant, centrally based neighborhoods, you鈥檒l feel at home and free to roam for as long as you want 鈥?a month, a year, or longer. 

Each apartment is thoughtfully designed with exclusive furnishings, fully equipped kitchens, and incredible amenities 鈥?making every day a five-star experience. From day one, you鈥檒l enjoy high-speed Wi-Fi, premium linens, and smart home entertainment. Plus, access to pools, gyms, and outdoor spaces in select buildings.

Why stress over your apartment? We provide a hassle-free alternative 鈥?a consistent, quality guest experience that starts even before you arrive. Because we let you book our most up-to-date apartment listings online, confirm with a click, pay securely, and check in easily. 

Even better? You can enhance your stay with car rentals, grocery delivery, laundry services, and more through our special partnerships. 

During your stay
Upon arrival, you鈥檒l either be greeted personally by a Blueground team member or given self-check-in instructions. The entire apartment is yours! You鈥檒l enjoy reliable support via email, phone, and our Guest App, where you can request everything from a home cleaning to extra towels. 

We鈥檒l share all details upon confirmation of your stay.",within an hour,1.00 ,0.97 ,f,Cambridge,4022,4338,"['email', 'phone', 'work_email']",t,t
20,Qing,2020/2/8,,,within an hour,1.00 ,1.00 ,f,Flushing,22,25,"['email', 'phone']",t,t
21,Eibhlin,2019/8/9,"New York, United States","Hi there! 

I love to travel, cook, eat and chat with interesting people from all over the world. Love hosting people and welcoming them to NYC, such a vibrant buzzing City!

Love forward to accommodating you!",within a day,0.66 ,0.70 ,f,Bushwick,15,21,"['email', 'phone']",t,t
22,Vanessa,2018/8/1,"New York, NY","My husband and I love hosting to meet people from all walks of life. We enjoy traveling, cooking and are passionate entrepreneurs on a journey to start our own business! ",within an hour,1.00 ,1.00 ,t,Hamilton Heights,7,9,"['email', 'phone']",t,t
23,Jillian,2015/5/8,"New York, NY","Hi!  
I am a native New Yorker who works in the fashion industry.  I am lucky to split my time between NYC, Miami and Scottsdale. I know the ins and outs of all of the cities and it's surrounding areas and am happy to give recommendations and advice on restaurants, night life and shopping.  I am passionate about food, travel and all things fashion, music or art related.  

I would like you to feel comfortable staying in my home and also like you have a friend that you can contact if you need advice or recommendation while staying at my homes. ",within an hour,1.00 ,1.00 ,t,South Scottsdale,4,4,"['email', 'phone']",t,t
24,Martin,2014/7/6,"New York, NY",,,0.27 ,0.74 ,f,East Harlem,1,1,"['email', 'phone']",t,t
25,Cathie,2012/5/14,"New York, NY","I am a franco-american Stylist - Designer, living in Brooklyn for the past 12 years. I love my work - to create and style, as well as photography, traveling and spending time at the beach!",within a few hours,1.00 ,0.90 ,t,Crown Heights,1,1,"['email', 'phone']",t,t
26,Marie Salom茅,2015/4/22,"New York, NY",Je travaille dans l'art et vis 脿 NYC. ,,0.37 ,0.91 ,f,Clinton Hill,2,3,"['email', 'phone']",t,f
27,Lauren,2015/2/3,"Collingwood, Australia",.,,0.95 ,0.90 ,f,Greenpoint,1,1,"['email', 'phone']",t,t
28,Meng,2016/3/1,"New York, NY",,within a few hours,1.00 ,1.00 ,t,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,t
29,Maria,2018/6/4,"New York, NY","I am a cheerful, clean, organized, social butterfly! I am a proud mother of 5 wonderful kids, and now that all of them are grown up, I am taking the time to do what I have always wanted to do: travel, explore the world, and meet new people (and make new friends while at it)! 

I enjoy doing yoga, going to coffee shops (for tea, not coffee, though I enjoy a good coffee every once in a while), going for long walks through parks and gardens (gardens are one of the things I most enjoy), and going to historical places. 

I also love going to live shows for music and theater. I absolutely adore the ballet and ballroom dance (although I'm not great at it myself). 

As a host, I am respectful, kind, warm and non-judgmental, and strive to always create a clean, peaceful, joyful, and inviting environment. 
As a house guest, I am always respectful of rules, clean, and kind. 
",within an hour,1.00 ,1.00 ,f,Richmond Hill,3,3,"['email', 'phone']",t,t
30,Aliza,2015/11/17,"New York, NY","I'm a new homeowner, I have been living in NYC for 25 years and came from Israel. I recently bought this lovely brownstone in Bed Stuy. I love cooking, spending time with my family and art (as you can see by the paintings displayed on my walls!)",within an hour,1.00 ,0.85 ,f,Bedford-Stuyvesant,5,6,"['email', 'phone']",t,t
31,Samantha,2017/10/19,"New York, NY",,,0.85 ,0.77 ,f,Chelsea,1,1,"['email', 'phone']",t,t
32,Eugene,2012/8/11,"New York, NY","my number: (Phone number hidden by Airbnb) , my email: (Email hidden by Airbnb)",within a day,0.96 ,0.05 ,t,Flatbush,290,435,"['email', 'phone']",t,t
33,Steph,2010/9/26,"New York, NY","I'm a spiritual advisor, psychic medium, and author. I grew up in Australia and have been living in NYC for more than 20 years. 

Learn more about me by googling reverend stephanie wild. 

Insta: Wild.Steph

Cheers.",within an hour,1.00 ,0.93 ,t,Harlem,1,3,"['email', 'phone', 'work_email']",t,t
34,Eugene,2012/8/11,"New York, NY","my number: (Phone number hidden by Airbnb) , my email: (Email hidden by Airbnb)",within a day,0.96 ,0.05 ,t,Flatbush,290,435,"['email', 'phone']",t,t
35,Millennium Premier,2020/3/3,,,within an hour,0.79 ,0.97 ,f,,6,15,"['email', 'phone']",t,t
36,Shu,2019/9/12,,鎴戞槸楠戝＋,within a few hours,0.90 ,0.84 ,f,Sunset Park,15,24,"['email', 'phone']",t,t
37,Sarah,2015/5/12,"New York, NY","Technology project/portfolio manager for a large financial services company. My wife and I are the proud mothers of two handsome little guys.

I love the simple things in life. Grew up in a farming community in southwestern Ontario Canada. Even though I have not lived in a rural area for nearly 20 years, I love finding small ways to remain connected to my roots. After a long day at the office, there is nothing quite like coming home and being able to garden in the backyard and on the roof of my home in Bed Stuy, Brooklyn. Actively involved in my local community block association and in working with LGBTQ homeless youth in the New York City area.

My personal and professional motto is from the wise Maya Angelou: ""I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.""",,0.79 ,0.03 ,f,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,t
38,Andom,2014/6/5,"New York, NY","Special Education Teacher in New York City

Second (and 3rd and 4th) Homes:
Eritrea
Mauritius
Palestine

Favorite Travel Destinations:
Italy
Botswana
Cuba

Summers of Soccer:
2010 WC - South Africa
2016 Copa America and Euros - NYC, Marseille, Paris
2018 WC - Russia",within a day,1.00 ,0.25 ,f,Inwood,1,1,"['email', 'phone']",t,t
39,Artel,2022/2/25,,,,0.10 ,1.00 ,f,,2,2,"['email', 'phone']",t,t
40,Marissa,2014/7/2,"New York, NY",,,0.42 ,0.58 ,f,Midtown,1,1,"['email', 'phone']",t,f
41,Mark Ivan,2021/3/16,,,within an hour,1.00 ,0.83 ,f,,1,6,"['email', 'phone']",t,t
42,Ana茂s,2013/10/29,"Plano, TX",Siamo una coppia di grandi viaggiatori. Dopo aver vissuto anni negli Stati Uniti siamo tornati in Italia accompagnati dal nostro bambino e dal nostro Golden Retriever morbidissimo e buonissimo!,,0.30 ,0.79 ,f,Bay Ridge,1,1,"['email', 'phone']",t,f
43,Matti,2014/8/27,"New York, NY",,,0.85 ,0.63 ,f,Midtown,1,2,"['email', 'phone']",t,t
44,Sergii & Nika,2017/8/16,,"Founded in 2016 by a team who knows what it鈥檚 like to move we spent our careers traveling around the world, working remotely and building start-ups.
Outpost Club was launched by three entrepreneurs who understands the challenges of moving to new places, working remotely and building a start-up from scratch in a new place. Our mission is to build a tight-knit community with shared passions and visions, thereby making the world we live in a better place. Apply today, move in tomorrow. Our spaces are cleaned regularly and restocked with all the essentials. Flexibility and convenience matched with beautiful spaces and new friends, that鈥檚 what we鈥檙e all about for the thousands of guests we鈥檝e served.",within an hour,1.00 ,1.00 ,f,,14,17,"['email', 'phone']",t,t
45,Chris,2018/2/6,"New York, NY","I'm Chris, a retired architect. I love to travel: far and exotic places in the winter, my country place in the summer where I grow my own veggies. In between I'm always open to a great meal with friends.",within a day,1.00 ,0.71 ,t,Hamilton Heights,1,1,"['email', 'phone']",t,f
46,German A,2012/12/21,"New York, NY","I am well travelled person, i love the experience and the excitement of it. I am just as excited to host and give recommendations on places to visit.",within an hour,1.00 ,1.00 ,f,Williamsburg,3,12,"['email', 'phone']",t,t
47,Nicola,2013/11/4,,,,0.81 ,0.50 ,f,Midtown,1,2,['email'],t,f
48,Lauren,2016/12/12,"New York, NY",Student in New York City!,,0.74 ,0.80 ,f,Flushing,1,3,"['email', 'phone']",t,t
49,Robert,2013/7/23,"New York, NY","32 male from Philly, PA, USA. Currently in NYC employed by JP Morgan. Lover of music, people, fun, the ocean, the mountains, excercise, conversation, and sunsets.",within a day,0.83 ,0.92 ,f,Bushwick,1,2,"['email', 'phone', 'work_email']",t,t
50,Mar铆a,2019/5/31,"New York, NY","Me gusta los sitios llenos de energ铆a, por eso me preocupo por hace de nuestro hogar un lugar acogedor y con la mejor amabilidad.",within an hour,1.00 ,1.00 ,f,East Elmhurst,2,2,['phone'],t,t
51,Zhanna,2017/6/11,"New York, NY",,within an hour,1.00 ,1.00 ,f,Flushing,1,1,"['email', 'phone']",t,t
52,Clarabel,2018/12/1,"New York, NY","Hi. I am Clarabel. Just like you, I love to travel. I enjoy meeting new people and learning about their culture. I enjoy experimenting with different cuisine and would love to try making one from your region. I love Broadway shows and would be a good source of information. I lived in New York long enough to be able to give you information for an unforgettable vacation.  I enjoy hosting. In my home, you will be treated like family.",within an hour,1.00 ,1.00 ,f,College Point,1,1,"['email', 'phone']",t,f
53,Michelle,2021/1/6,,,within an hour,0.78 ,1.00 ,t,,50,50,"['email', 'phone']",t,t
54,Asaf,2016/11/12,"New York, United States",,within a few hours,1.00 ,0.95 ,f,Jamaica,3,4,"['email', 'phone']",t,f
55,Jafor,2018/11/13,,,,0.53 ,0.26 ,f,Maspeth,1,1,"['email', 'phone']",t,t
56,Drew,2011/11/5,"New York, NY","I'm a single father and actor living in New York City who occasionally works out of town for months at a time. Artsy, eclectic artwork is always appreciated. ",,0.54 ,0.19 ,f,Washington Heights,1,1,"['email', 'phone']",t,t
57,Latasha,2021/9/28,"Locust Grove, GA",,within a day,0.90 ,0.48 ,f,,4,8,"['email', 'phone']",t,t
58,Ashley,2017/5/7,"New York, NY","Lived in NYC for over 13 years. I鈥檝e been traveling the world since I was 18 and have yet to be dissatisfied! 

I work in TV productions and am currently on hiatus. 

I have the best doggie in the world - his name is Buddy and he loves everyone and everything! ",within a day,0.70 ,0.49 ,f,Hell's Kitchen,3,4,"['email', 'phone']",t,t
59,Russell,2017/2/16,"New York, NY",I am a  retail executive in Midtown Manhattan and have lived in nyc for 18 years .,,0.91 ,1.00 ,f,,1,3,"['email', 'phone', 'work_email']",t,t
60,Esther,2017/5/7,"New York, NY","Hi! I鈥檓 Esther,
a driven Hospitality Management professional with a genuine love for connecting with people and places. I greatly enjoy making people feel at home and being a resource to others. ",within a few hours,1.00 ,1.00 ,f,,1,2,"['email', 'phone', 'work_email']",t,t
61,Joseph,2012/7/1,"New York, NY","Artist, Musician, Surfer and proud new father...

My wife, baby boy and I will be living sometimes away in Florence, Italy while I teach for a year.  

We love our Brooklyn home!",within an hour,1.00 ,1.00 ,t,Greenpoint,2,3,"['email', 'phone']",t,t
62,Ethan,2016/1/22,"New York, NY",,,0.84 ,0.90 ,f,Upper West Side,1,1,['phone'],t,f
63,Lisa,2010/6/20,"New York, NY","I am an advertising/marketing professional living & working in NYC for the past 15 years.  I'm originally from MIami but love the fast pace & energy of Manhattan.  I'm a connoisseur of all things NYC, a devout foodie, travel enthusiast and I enjoy meeting people from around the world.  I'm also fluent in Spanish. ",,0.42 ,0.11 ,f,Upper West Side,1,1,"['email', 'phone']",t,t
64,Shauna,2011/6/13,"New York, NY","New York City
History Teacher",,0.71 ,0.45 ,f,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,t
65,Kirsten,2013/6/9,"Williamstown, MA",,within an hour,1.00 ,0.94 ,t,Lincoln Park,1,2,"['email', 'phone', 'work_email']",t,t
66,Joy,2017/6/7,"New York, United States",,within a day,1.00 ,0.81 ,t,Flatbush,1,1,"['email', 'phone', 'work_email']",t,t
67,Kay,2014/8/6,"New York, NY","I'm a multimedia artist who works in the fashion industry. My house is big and laidback and pretty easy to live in. The two other girls are also art lovers and pretty chill. We enjoy hosting, telling you about the city and help you enjoy the city. This is a peaceful and loving home. Door to door, our home is 15 minutes from midtown and Central Park. Astoria is a quiet and safe neighborhood with great prices on food and groceries. ",,0.27 ,0.08 ,f,Astoria,1,2,"['email', 'phone']",t,t
68,Taaj,2015/11/30,"New York, NY","NY attorney in Park Slope, BK.",within an hour,1.00 ,0.89 ,f,Gowanus,1,1,"['email', 'phone']",t,t
69,Alex,2013/9/29,"New York, NY","36 yr old professional male. Likes include tennis, sports, concerts and travel.  ",within a day,1.00 ,0.36 ,f,Midtown East,2,2,"['email', 'phone']",t,t
70,Micky,2013/8/17,"New York, NY","I'm from New York, City, USA. I'm a business consultant who loves to dance, bake, and listen to good music. I am very mature and considerate and speak English and Spanish fluently.",within a day,1.00 ,0.57 ,f,Midtown,1,1,"['email', 'phone']",t,t
71,Elle,2013/4/17,"New York, United States",Travel everywhere! ,,0.06 ,0.56 ,f,Bedford-Stuyvesant,1,2,"['email', 'phone']",t,t
72,The Sunrise,2020/12/16,"New York, NY","After living in NYC for more than 15 years, my husband and I found this hidden gem and immediately fell in love. The beautiful views and great location are the main reason! We feel so much joy when we are in this home that we wanted to share that with others through Airbnb. We really hope you enjoy it as much as we do! ",within an hour,1.00 ,0.90 ,t,Cypress Hills,4,5,"['email', 'phone']",t,t
73,Ruth And Fran,2018/11/6,"Greenville, DE","ABOUT ME:
I am a fun, happy, caring, and loving type of person. I鈥檓 very responsible and respectful of others. I enjoy helping others whether it鈥檚 a physical task or just to be there for someone in time of need.  I like meeting new people and make new friends. I also like to read, write, and travel the world. I鈥檓 an author (I wrote and published books on credit, business, and finance). I鈥檓 a Latin dancer (I dance Salsa, Bachata, Merengue, and Kompa). I can teach or give you a few pointers if you are into dancing. I鈥檓 a chef at heart, I enjoy cooking and trying different food. I鈥檓 a polyglot (I can speak and understand French, Creole, some Spanish, and English; lite Portuguese, Vietnamese, Italian and sign language). So do not hesitate to address me in the language that you are more comfortable in.
I鈥檓 obsessed with cleaning and keeping things clean. You can be assured that you are entering a clean home and laying on a clean bed.

HOSTING:
As a host I鈥檓 thriving to be the best I can be to every guest that make a decision to book my home. I鈥檓 available in person and virtually. I welcome suggestions, ideas from every guest in other to make their stay and future stay a great one. Some of my room listings are designed by guests鈥?suggestions which I really like because their inspirations are in every room. I love it! 

DISCOUNT:
How about a discount??

Yes!  to my great potential guest(s) I give out great discount to: LEOs (new recruits and active duty Police officers, firefighters, active duty military, vet, teachers and social workers (Solid proof is required).

For the rest of the public鈥?I offer discount when you book 8 weeks or longer stay. If the discount doesn鈥檛 show鈥?no problem, You can either message me or wait until you check-in and I can submit a request to add it for you. 

RETURNING GUEST DISCOUNT:
To my wonderful former guest(s) I joyfully extend a 10% lifetime discount to you. That鈥檚 away of showing my gratitude toward you. I hope that makes you feel special. Come back soon to take advantage of your discount. 

Note: cleaning fees cannot be removed or reduced except for instance where guest needs to extend their stay for a day or more.

FREE BREAKFAST:
Free self served light continental breakfast in the kitchen. Help yourself to some light breakfast, there鈥檚: breads, bagels, croissants, peanut butter, regular jelly,  spicy habanero jelly, cream cheese, fresh fruits and some canned fruits,  also cereals. For drinks: coffee, tea, orange juice, milk, and water. Text me if you need guidance.
Continental breakfast is free during the duration of your stay. 
 
GOURMET BREAKFAST 
Gourmet breakfast starts at $15/person $25 a couple. You must place your meal request by 10:00 PM the night before. 

Thank you(: 
",within an hour,1.00 ,0.99 ,f,Prospect Lefferts Gardens,17,25,"['email', 'phone']",t,t
74,Colin,2017/9/24,"Woodbridge Township, NJ",,a few days or more,0.25 ,0.15 ,f,Richmond Hill,1,1,"['email', 'phone']",t,t
75,Izi,2014/5/5,"New York, NY",Please fill in,within an hour,1.00 ,0.90 ,t,Upper West Side,8,8,"['email', 'phone']",t,t
76,Kevin,2019/8/15,"New York, United States",,,0.46 ,0.60 ,f,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,t
77,Mattias,2014/3/11,"New York, NY","We are 2 married Swedish expats currently working and living in NYC. 
If we are looking at your home - we are probably on our way for a relaxing vacation in a place close to you",,0.21 ,0.60 ,f,Williamsburg,1,2,"['email', 'phone']",t,t
78,Brandon,2013/9/30,"New York, NY",Friendly professional who loves to travel and provide friends/family with economical comforts :),within an hour,1.00 ,0.96 ,t,,1,3,"['email', 'phone']",t,t
79,Ryan,2019/10/15,"Atlanta, GA",Fun traveler ,within an hour,1.00 ,1.00 ,f,Morris Park,1,1,"['phone', 'work_email']",t,t
80,Ella,2022/1/3,"New York, NY","Hi there! I am Ella, a young entrepreneur in the dancing industry. I will try my best to make your stay in New York city as comfortable as possible. ",within an hour,0.99 ,0.97 ,f,,4,6,"['email', 'phone']",t,t
81,Stephanie,2014/6/3,"New York, United States",,,0.11 ,0.00 ,f,Fort Greene,1,1,"['email', 'phone']",t,t
82,George,2017/5/26,"New York, NY","My name is George. I was born in New York city but I grew up in Athens, Greece. I am an easy going person, love to meet new people and travel. ",,0.07 ,0.22 ,f,Midtown,1,1,"['email', 'phone']",t,t
83,Grencies Fe,2022/2/7,,,within an hour,1.00 ,0.91 ,f,,4,4,"['email', 'phone']",t,t
84,Rachel,2020/7/28,"New York, NY","Hi there. Welcome to New York City and the Upper West Side! I'm a local young professional with a couple extra rooms to rent.  I enjoy hiking, skiing, traveling, sushi and more! Would love to host you!  (I don't have reviews yet because I just joined. Don't be shy, I'll take good care of you!)",,0.75 ,0.00 ,f,,2,3,['phone'],t,t
85,Jt,2015/2/3,"New York, NY","I moved to New York about 14 years ago and I can't see myself anywhere else since then!
If you want to discover my amazing city I will be happy to share it with you ;-)
",within an hour,0.99 ,0.90 ,f,Upper East Side,71,76,"['email', 'phone']",t,t
86,2015/7/23,2017/2/14,"New York, NY",,,0.75 ,0.93 ,t,Midtown,1,7,t,t,f
87,Tony,2022/4/26,,"Hi, I am a working professional, who is in love with NYC and likes to share the magic of this city. Love meeting new people with diverse cultural background and bring my positive attitude.  I believe we all learn from each other!",within an hour,1.00 ,0.93 ,t,,2,2,"['email', 'phone']",t,t
88,Untitled,2017/11/16,"New York, NY","We are UNTITLED 3 freeman alley!
Urban hotel rooms in the heart of New York City. Located in the lower east side. Freeman alley. Everything you need for your next stay. ",within an hour,1.00 ,1.00 ,t,Greenpoint,200,212,"['email', 'phone']",t,t
89,Jason,2017/11/15,"New York, United States","Hi, I鈥檓 Jason! I was born in New York and go to school in Florida. I like learning, adventures, traveling, and experiencing new cultures. I love working out and playing games. I speak English, Spanish, and Italian. I love dogs.",,0.07 ,1.00 ,f,Jamaica,1,1,"['email', 'phone']",t,t
90,Victoria,2020/12/27,"New York, United States",,within a few hours,1.00 ,0.92 ,t,Bedford-Stuyvesant,1,1,"['email', 'phone', 'work_email']",t,f
91,Alessandro,2018/1/9,,,within a few hours,1.00 ,0.71 ,f,,1,1,"['email', 'phone']",t,t
92,Crystal,2018/12/10,"New York, NY","Hello! California native, Manhattan newbie! I love meeting new people and getting to know their stories. ",within a day,0.79 ,1.00 ,t,Murray Hill,1,3,"['email', 'phone']",t,f
93,Guerline,2015/7/20,"New York, NY","
I am a New Yorker at heart and spirit.   I love New York City, especially Brooklyn .  It is truly an amazing place to live. There's so much to see, so many different people to meet,so much to do in this city. I love to travel, I love to meet people from the rest of the world.  I love free concerts, the arts, good food.  
























",within a day,1.00 ,0.96 ,f,Flatbush,1,2,"['email', 'phone']",t,t
94,Irina,2012/1/20,"New York, NY",I live in New York. I make films and teach filmmaking at Brooklyn College of the City University of New York. ,,0.55 ,0.99 ,f,Fort Greene,1,1,"['email', 'phone']",t,t
95,Michael & Sandy,2014/11/18,"New York, NY","Hello!

We are a small family living in Brooklyn and also Berkeley, California but living in Berkeley most of the time where our two lovely boys Ludo and Benjamin, attend school. Sandy is a textile designer, and I travel around the world directing silly TV commercials. We love art, design, film, and especially meeting interesting people while traveling. We lived in London, England, where we met and one day, hope to retire half the year in New York City and the other half on the beach in Australia, where Sandy grew up. We鈥檒l keep dreaming for now.

Hope you enjoy our lovely Brooklyn place as much as we do.

Warmly,
Michael & Sandy",within a few hours,1.00 ,0.95 ,t,Bedford-Stuyvesant,1,1,"['email', 'phone']",t,t
96,Lailee,2015/12/2,"Nashville, TN",,within an hour,0.80 ,0.80 ,f,,1,1,"['email', 'phone']",t,t
97,Anthony,2017/10/1,"New York, United States",I'm an entertainment lawyer for BET entertainment. I work almost 7 days a week deal with lot of upscale professionals and celebrities. Hard-working professional brother. No kids not married just a workaholic,within a day,1.00 ,0.00 ,f,Flatbush,1,3,"['email', 'phone', 'work_email']",t,t
98,Greta,2012/6/18,"New York, NY","Singer-songwriter, composer, producer, director. Originally from Sydney, Australia. Have been living in NYC since 1999. Completed Bachelors of Law and Arts (music major) at the University of Sydney. ",,0.43 ,0.89 ,f,Sunset Park,1,2,"['email', 'phone']",t,t
99,Melanie,2013/3/4,"New York, NY","I鈥檓 a Greek American native New Yorker.  I鈥檝e rented out my apt in NYC on Airbnb for years, while traveling to Greece or other parts of the world, most often as an Airbnb guest myself!  

I've been told repeatedly by friends & guests that the energy in my home is welcoming and feels good!
I appreciate and love Nature, Yoga and Photography.
My home is filled with plants that I adore.  I also have plenty of self development & positive psychology books in case you鈥檙e looking for something to read during your stay!   Some of my photography work is displayed on the walls of my apartment.  

As a guest, I like to show the same respect and consideration for my host and their home as I like to receive from my own guests.  ",within a few hours,1.00 ,0.53 ,f,,2,4,"['email', 'phone', 'work_email']",t,t
100,Wayne,2013/12/19,"New York, NY","Hello, my name is Wayne Cooke; I am excited to be a part of the hospitality industry and helping millions save money on accommodation away from home. My family and I lived in NYC for over 40 years. Personally I love NYC and you will too! ",within an hour,1.00 ,1.00 ,f,,3,3,"['email', 'phone']",t,t
101,Katherine,2018/4/18,"Yonkers, NY",,within an hour,1.00 ,0.93 ,t,West Bronx,3,3,"['email', 'phone']",t,f
102,John,2017/10/28,,,within an hour,0.99 ,1.00 ,f,East New York,32,53,"['email', 'phone']",t,t
103,Oates,2015/8/1,"New York, NY",A New York based multimedia journalist. ,,0.03 ,0.34 ,f,Lefferts Garden,2,2,"['email', 'phone']",t,t
104,Luis,2013/1/16,"New York, NY",I love meeting new people from around the world. I have always been in the world of hospitality and it will be my pleasure to be your host in the big apple!,,0.68 ,0.39 ,f,Jackson Heights,1,1,"['email', 'phone']",t,f
105,Edward,2019/12/21,,,,0.03 ,0.87 ,f,Midtown,1,2,"['email', 'phone']",t,t
106,Kirsten,2012/12/19,"London, United Kingdom",,within an hour,1.00 ,1.00 ,f,,1,3,"['email', 'phone']",t,t
107,Erika,2017/12/17,"New York, NY",,,0.66 ,0.55 ,f,Long Island City,1,3,"['email', 'phone']",t,t
