review_id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
30,2016/6/19,2022/8/16,4.90 ,4.89 ,4.79 ,4.96 ,4.86 ,4.82 ,4.82 
31,2017/10/29,2017/11/6,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
32,,,,,,,,,
33,2018/8/20,2022/8/30,4.89 ,4.94 ,4.68 ,4.94 ,4.94 ,4.70 ,4.87 
34,,,,,,,,,
35,2021/8/22,2021/8/22,2.00 ,2.00 ,3.00 ,3.00 ,3.00 ,4.00 ,3.00 
36,2020/8/1,2022/8/14,4.33 ,4.56 ,4.02 ,4.81 ,4.70 ,4.44 ,4.53 
37,2019/9/21,2019/10/31,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
38,2018/9/9,2021/8/28,4.77 ,5.00 ,4.68 ,5.00 ,5.00 ,4.82 ,4.86 
39,,,,,,,,,
40,2017/9/13,2018/1/2,5.00 ,5.00 ,4.67 ,5.00 ,5.00 ,5.00 ,4.67 
41,2022/8/1,2022/8/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
42,2016/1/9,2016/1/9,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
43,2014/12/15,2015/4/7,4.20 ,4.60 ,3.60 ,4.60 ,5.00 ,4.80 ,4.50 
44,2022/5/27,2022/5/27,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,5.00 ,3.00 
45,2021/4/24,2022/8/27,4.96 ,4.96 ,4.96 ,5.00 ,4.96 ,4.96 ,4.96 
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,2022/6/2,2022/9/2,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
50,2019/6/8,2022/9/2,4.61 ,4.76 ,4.76 ,4.75 ,4.63 ,4.76 ,4.63 
51,2022/7/17,2022/8/29,4.75 ,4.88 ,4.75 ,4.88 ,4.63 ,4.88 ,4.63 
52,2019/1/1,2022/9/3,4.98 ,5.00 ,5.00 ,5.00 ,4.98 ,4.96 ,4.89 
53,2021/3/15,2022/3/19,4.79 ,4.85 ,4.53 ,4.91 ,4.71 ,4.97 ,4.85 
54,2017/1/5,2022/8/28,4.77 ,4.81 ,4.77 ,4.91 ,4.96 ,4.64 ,4.62 
55,2018/11/24,2020/1/7,4.28 ,4.69 ,3.78 ,4.84 ,4.75 ,4.59 ,4.44 
56,2016/4/29,2017/6/24,4.80 ,5.00 ,4.40 ,5.00 ,5.00 ,4.60 ,5.00 
57,,,,,,,,,
58,2019/4/21,2019/12/9,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
59,2022/7/31,2022/7/31,4.00 ,5.00 ,4.00 ,4.00 ,5.00 ,5.00 ,5.00 
60,2022/5/2,2022/7/17,5.00 ,5.00 ,4.67 ,5.00 ,5.00 ,5.00 ,4.67 
61,2020/10/17,2022/8/23,5.00 ,4.75 ,4.75 ,5.00 ,5.00 ,4.75 ,4.75 
62,,,,,,,,,
63,2013/11/9,2013/11/9,4.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,5.00 
64,2016/12/30,2017/11/25,4.83 ,5.00 ,5.00 ,5.00 ,5.00 ,4.60 ,5.00 
65,2022/1/9,2022/9/4,4.80 ,4.90 ,4.80 ,5.00 ,5.00 ,4.50 ,4.90 
66,2017/8/7,2022/8/19,4.96 ,4.94 ,4.94 ,4.99 ,4.99 ,4.72 ,4.85 
67,2014/8/16,2014/8/16,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
68,2022/6/11,2022/9/5,4.83 ,4.83 ,4.83 ,5.00 ,5.00 ,5.00 ,4.83 
69,,,,,,,,,
70,,,,,,,,,
71,2015/6/1,2018/1/7,4.33 ,4.67 ,4.67 ,5.00 ,4.67 ,4.67 ,4.00 
72,2021/4/28,2022/8/28,4.87 ,4.89 ,4.93 ,4.91 ,4.89 ,4.48 ,4.76 
73,2022/6/2,2022/7/15,3.67 ,4.33 ,4.67 ,4.00 ,4.00 ,4.00 ,3.67 
74,2017/12/14,2018/9/16,4.22 ,4.22 ,4.67 ,4.22 ,4.33 ,4.67 ,4.44 
75,2014/6/3,2022/6/30,5.00 ,5.00 ,4.92 ,5.00 ,5.00 ,5.00 ,4.77 
76,2019/9/1,2019/10/20,4.75 ,4.88 ,4.88 ,4.88 ,4.25 ,5.00 ,5.00 
77,2017/8/19,2017/8/19,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
78,2021/7/19,2022/9/5,4.82 ,4.86 ,4.68 ,5.00 ,5.00 ,5.00 ,4.73 
79,2022/6/21,2022/8/30,5.00 ,5.00 ,5.00 ,4.89 ,5.00 ,5.00 ,5.00 
80,2022/5/30,2022/8/12,3.67 ,3.67 ,3.67 ,3.67 ,3.67 ,3.67 ,3.67 
81,2021/7/31,2021/7/31,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
82,2017/7/27,2018/1/1,4.29 ,4.50 ,4.21 ,4.79 ,4.86 ,4.64 ,4.50 
83,2022/3/7,2022/9/3,4.46 ,4.88 ,4.67 ,4.38 ,4.79 ,4.50 ,4.50 
84,2021/7/3,2021/7/3,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
85,2021/8/2,2022/5/31,5.00 ,5.00 ,4.33 ,5.00 ,5.00 ,5.00 ,5.00 
86,,,,,,,,,
87,2022/5/16,2022/9/6,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.60 ,4.90 
88,2021/9/4,2022/8/13,4.78 ,4.80 ,4.93 ,4.91 ,4.87 ,4.91 ,4.58 
89,2022/4/20,2022/4/20,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
90,2020/12/31,2022/8/20,4.94 ,4.99 ,4.96 ,4.97 ,4.90 ,4.86 ,4.89 
91,2022/9/1,2022/9/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
92,2019/3/26,2022/7/2,4.45 ,4.45 ,3.73 ,4.36 ,4.82 ,5.00 ,4.09 
93,2016/4/15,2020/3/19,4.74 ,4.77 ,4.77 ,4.90 ,4.91 ,4.44 ,4.75 
94,2014/1/7,2020/1/19,5.00 ,5.00 ,4.67 ,5.00 ,5.00 ,4.67 ,5.00 
95,2021/12/26,2022/9/5,4.91 ,4.86 ,4.94 ,4.91 ,5.00 ,4.83 ,4.89 
96,2022/7/26,2022/7/26,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
97,2017/10/17,2019/11/17,4.77 ,4.82 ,4.73 ,5.00 ,5.00 ,5.00 ,4.73 
98,,,,,,,,,
99,2021/12/13,2022/5/7,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
100,,,,,,,,,
101,2022/3/20,2022/8/28,4.81 ,5.00 ,4.85 ,4.81 ,4.92 ,4.73 ,4.77 
102,2018/9/25,2022/8/9,4.79 ,4.75 ,4.88 ,4.79 ,4.83 ,4.71 ,4.67 
103,2015/8/5,2017/4/30,4.43 ,4.49 ,3.83 ,4.68 ,4.74 ,4.71 ,4.47 
104,,,,,,,,,
105,,,,,,,,,
106,,,,,,,,,
107,2017/12/29,2018/1/1,4.50 ,4.50 ,5.00 ,5.00 ,4.50 ,5.00 ,5.00 
108,,,,,,,,,
109,2022/8/16,2022/8/16,5.00 ,5.00 ,5.00 ,4.00 ,5.00 ,5.00 ,5.00 
110,2021/12/13,2022/8/29,4.57 ,4.80 ,4.73 ,4.77 ,4.63 ,4.63 ,4.80 
111,2019/10/27,2022/8/21,4.77 ,4.88 ,4.83 ,4.94 ,4.85 ,4.54 ,4.69 
112,2017/5/3,2019/9/29,4.50 ,4.50 ,4.50 ,4.50 ,4.75 ,5.00 ,4.00 
113,2022/2/15,2022/9/4,4.22 ,4.39 ,4.57 ,4.52 ,4.61 ,4.70 ,4.22 
114,,,,,,,,,
115,2021/11/28,2022/8/28,4.67 ,4.67 ,5.00 ,5.00 ,4.67 ,4.50 ,4.50 
116,,,,,,,,,
117,2020/1/3,2022/7/1,4.80 ,5.00 ,5.00 ,5.00 ,5.00 ,4.50 ,4.80 
118,2019/10/27,2021/11/1,4.33 ,4.67 ,4.00 ,4.67 ,4.33 ,5.00 ,4.67 
119,2015/6/8,2015/12/30,4.50 ,4.60 ,4.80 ,4.80 ,5.00 ,4.60 ,4.80 
120,2021/4/28,2022/9/3,4.82 ,4.82 ,4.79 ,4.89 ,4.74 ,4.63 ,4.82 
121,2018/9/8,2019/12/9,4.91 ,4.91 ,4.94 ,4.97 ,5.00 ,4.82 ,4.88 
122,,,,,,,,,
123,2014/8/5,2022/8/16,4.46 ,4.74 ,4.07 ,4.80 ,4.77 ,4.40 ,4.42 
124,2018/12/25,2020/1/18,4.83 ,4.83 ,4.33 ,4.67 ,4.83 ,4.83 ,4.50 
125,2016/10/10,2016/12/31,4.50 ,4.67 ,4.50 ,5.00 ,5.00 ,4.17 ,4.83 
126,2022/1/28,2022/1/28,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
127,2021/12/5,2021/12/5,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,4.00 ,4.00 
128,2019/3/2,2020/10/18,4.66 ,4.73 ,4.64 ,4.86 ,4.80 ,4.47 ,4.51 
129,,,,,,,,,
130,2021/6/30,2022/8/31,4.75 ,4.75 ,4.75 ,5.00 ,5.00 ,5.00 ,5.00 
131,2021/11/19,2022/8/22,4.97 ,4.93 ,4.87 ,4.93 ,4.97 ,4.87 ,4.87 
132,2017/8/25,2022/8/15,4.87 ,4.78 ,4.96 ,4.87 ,4.74 ,4.43 ,4.57 
133,2012/9/10,2022/8/21,4.50 ,4.61 ,3.94 ,4.94 ,4.94 ,4.44 ,4.50 
134,,,,,,,,,
135,2020/7/6,2022/8/16,4.01 ,4.24 ,3.99 ,4.39 ,3.93 ,4.44 ,3.99 
136,2017/12/8,2018/1/2,4.50 ,5.00 ,4.50 ,4.50 ,5.00 ,5.00 ,5.00 
137,2018/5/20,2019/8/13,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.71 ,4.86 
138,2019/3/10,2020/3/7,5.00 ,4.85 ,4.96 ,4.96 ,5.00 ,4.96 ,4.96 
139,,,,,,,,,
140,2022/5/31,2022/8/21,4.88 ,4.82 ,5.00 ,5.00 ,5.00 ,4.94 ,4.94 
141,2014/6/21,2015/12/22,5.00 ,4.88 ,5.00 ,4.63 ,4.88 ,4.88 ,5.00 
142,2018/1/4,2020/3/11,4.88 ,5.00 ,4.88 ,5.00 ,4.99 ,4.82 ,4.93 
143,2015/8/16,2016/9/8,4.56 ,4.57 ,4.46 ,4.80 ,4.83 ,4.69 ,4.51 
144,2022/3/2,2022/9/3,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.95 ,4.89 
145,2018/5/23,2018/9/23,4.80 ,5.00 ,4.60 ,5.00 ,5.00 ,5.00 ,5.00 
146,2015/9/28,2022/4/30,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
147,2021/10/6,2022/8/7,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
148,2017/2/18,2019/1/1,4.67 ,4.78 ,4.11 ,5.00 ,5.00 ,5.00 ,4.67 
149,2016/2/15,2021/3/7,3.50 ,4.00 ,4.00 ,3.50 ,4.50 ,5.00 ,4.00 
150,2015/6/26,2017/10/25,4.47 ,4.52 ,4.65 ,4.85 ,4.91 ,4.60 ,4.53 
151,2021/10/16,2022/5/22,4.67 ,4.87 ,5.00 ,4.73 ,4.93 ,4.53 ,4.80 
152,2022/8/22,2022/8/22,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
153,2021/8/4,2022/1/4,5.00 ,4.67 ,4.00 ,5.00 ,4.67 ,5.00 ,4.67 
154,2014/9/6,2014/10/22,4.50 ,4.50 ,4.50 ,5.00 ,5.00 ,4.50 ,4.50 
155,2016/5/30,2017/5/29,4.86 ,4.86 ,4.86 ,5.00 ,4.86 ,4.71 ,4.86 
156,,,,,,,,,
157,2017/7/23,2018/5/13,4.83 ,4.94 ,4.61 ,5.00 ,5.00 ,4.78 ,4.78 
158,,,,,,,,,
159,2016/12/18,2022/8/24,4.84 ,4.88 ,4.84 ,4.92 ,4.96 ,4.80 ,4.68 
160,,,,,,,,,
161,2021/10/9,2022/4/1,4.67 ,5.00 ,5.00 ,5.00 ,5.00 ,4.33 ,4.67 
162,2021/8/5,2022/3/5,5.00 ,5.00 ,4.33 ,5.00 ,5.00 ,5.00 ,4.83 
163,2020/10/18,2022/7/31,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.50 
164,2018/10/6,2022/8/22,4.73 ,4.83 ,4.76 ,4.90 ,4.86 ,4.58 ,4.73 
165,2019/11/3,2019/12/23,4.75 ,5.00 ,5.00 ,5.00 ,5.00 ,4.25 ,5.00 
166,2019/1/1,2019/12/31,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
167,2022/4/17,2022/9/2,4.56 ,4.75 ,4.69 ,4.56 ,4.69 ,4.31 ,4.50 
168,2019/8/4,2019/8/25,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.67 
169,2021/6/12,2022/7/30,4.42 ,4.42 ,4.47 ,4.05 ,4.37 ,4.00 ,4.32 
170,2019/3/2,2022/8/16,4.69 ,4.79 ,4.72 ,4.72 ,4.66 ,4.79 ,4.62 
171,2016/1/6,2021/4/6,4.18 ,4.56 ,4.63 ,4.63 ,4.61 ,4.38 ,4.46 
172,2017/8/31,2022/8/30,4.67 ,4.77 ,4.43 ,4.87 ,4.90 ,4.53 ,4.47 
173,2022/5/16,2022/6/27,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 
174,2019/6/11,2022/2/14,4.75 ,4.75 ,5.00 ,5.00 ,5.00 ,4.50 ,4.50 
175,2019/8/19,2022/9/3,4.65 ,4.78 ,4.76 ,4.78 ,4.84 ,4.47 ,4.62 
176,2019/11/3,2020/6/3,5.00 ,5.00 ,5.00 ,4.80 ,5.00 ,5.00 ,5.00 
177,,,,,,,,,
178,2016/3/23,2017/11/28,4.44 ,4.78 ,4.33 ,4.78 ,4.78 ,4.44 ,4.44 
179,,,,,,,,,
180,,,,,,,,,
181,2019/12/28,2019/12/28,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
182,2022/2/24,2022/8/16,4.39 ,4.39 ,4.30 ,4.74 ,4.78 ,4.39 ,4.48 
183,2021/6/12,2022/9/1,4.95 ,4.95 ,4.95 ,4.97 ,4.98 ,4.81 ,4.94 
184,2022/5/8,2022/8/12,4.50 ,4.67 ,5.00 ,4.00 ,4.83 ,5.00 ,4.83 
185,,,,,,,,,
186,2021/9/6,2022/8/9,4.83 ,4.80 ,4.70 ,4.80 ,4.83 ,4.67 ,4.80 
187,,,,,,,,,
188,2016/2/29,2022/6/3,4.81 ,4.89 ,4.81 ,4.94 ,4.92 ,4.86 ,4.80 
189,2020/3/5,2020/3/5,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
190,2012/4/27,2022/5/15,4.63 ,4.72 ,4.77 ,4.57 ,4.70 ,4.80 ,4.63 
191,,,,,,,,,
192,,,,,,,,,
193,2016/5/8,2016/7/20,4.50 ,4.50 ,4.00 ,5.00 ,5.00 ,5.00 ,5.00 
194,2022/4/13,2022/9/2,4.90 ,4.90 ,4.90 ,4.90 ,4.90 ,4.80 ,4.85 
195,2020/1/3,2021/2/1,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
196,2019/9/2,2022/9/3,4.87 ,4.83 ,4.67 ,5.00 ,4.97 ,4.73 ,4.73 
197,2019/12/9,2022/9/2,4.87 ,4.99 ,4.88 ,4.96 ,4.97 ,4.86 ,4.89 
198,,,,,,,,,
199,2014/7/15,2014/7/15,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
200,2020/8/13,2021/7/25,4.38 ,4.46 ,4.31 ,4.54 ,4.92 ,4.54 ,4.23 
201,2022/5/30,2022/9/2,4.61 ,4.78 ,4.67 ,4.72 ,4.72 ,4.39 ,4.67 
202,2022/2/10,2022/2/20,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.50 ,5.00 
203,2016/12/8,2022/8/22,4.76 ,4.85 ,4.74 ,4.85 ,4.87 ,4.68 ,4.84 
204,2017/12/30,2022/8/27,4.74 ,4.83 ,4.67 ,4.89 ,4.85 ,4.76 ,4.84 
205,2021/10/13,2022/9/2,4.52 ,4.52 ,4.26 ,4.68 ,4.68 ,4.52 ,4.58 
206,2018/12/24,2019/3/15,3.75 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 
207,2018/3/15,2021/8/15,4.94 ,4.97 ,4.89 ,4.97 ,5.00 ,4.92 ,4.83 
208,2022/5/13,2022/8/10,4.00 ,4.14 ,4.00 ,4.14 ,3.29 ,3.86 ,3.86 
209,,,,,,,,,
210,2017/6/6,2022/8/28,4.93 ,4.92 ,4.97 ,4.97 ,4.97 ,4.97 ,4.78 
211,2015/3/23,2015/11/16,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,4.00 
212,2019/12/10,2022/8/1,4.80 ,4.91 ,4.77 ,4.95 ,4.95 ,4.95 ,4.73 
213,2022/6/26,2022/6/26,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 ,5.00 
214,2016/4/5,2022/8/17,4.69 ,4.83 ,4.66 ,4.73 ,4.71 ,4.87 ,4.60 
215,2022/8/11,2022/8/22,4.00 ,4.00 ,4.50 ,5.00 ,5.00 ,3.50 ,4.50 
216,2021/8/8,2021/12/4,5.00 ,4.80 ,4.80 ,4.80 ,5.00 ,5.00 ,4.80 
217,,,,,,,,,
218,2019/12/28,2019/12/28,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
219,2016/8/2,2022/8/16,4.91 ,4.97 ,4.81 ,4.96 ,4.99 ,4.85 ,4.80 
220,2016/3/6,2022/8/23,4.73 ,4.82 ,4.77 ,4.82 ,4.72 ,4.62 ,4.71 
221,2021/10/3,2021/10/3,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
222,2021/7/21,2022/8/10,4.82 ,4.95 ,4.73 ,4.95 ,4.91 ,4.73 ,4.82 
223,,,,,,,,,
224,2020/5/14,2022/3/5,4.63 ,4.70 ,4.73 ,4.67 ,4.67 ,4.57 ,4.67 
225,2020/6/13,2021/8/9,5.00 ,5.00 ,5.00 ,4.83 ,5.00 ,4.83 ,4.50 
226,2016/5/8,2016/5/23,4.00 ,4.00 ,2.00 ,5.00 ,5.00 ,4.00 ,5.00 
227,,,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,2016/4/24,2022/8/23,4.67 ,4.90 ,4.76 ,5.00 ,4.90 ,4.52 ,4.71 
231,,,,,,,,,
232,,,,,,,,,
233,,,,,,,,,
234,2018/6/3,2020/1/4,4.80 ,4.87 ,4.89 ,4.82 ,4.92 ,5.00 ,4.74 
235,,,,,,,,,
236,2022/2/22,2022/9/6,4.69 ,4.83 ,4.79 ,5.00 ,4.94 ,4.42 ,4.63 
237,,,,,,,,,
238,,,,,,,,,
239,,,,,,,,,
240,2022/2/18,2022/5/22,4.77 ,5.00 ,5.00 ,4.85 ,4.77 ,4.62 ,5.00 
241,2016/12/27,2022/7/31,4.99 ,5.00 ,4.98 ,5.00 ,5.00 ,5.00 ,4.89 
242,2021/4/12,2021/7/13,4.50 ,4.50 ,4.50 ,5.00 ,5.00 ,5.00 ,4.00 
243,,,,,,,,,
244,2022/6/13,2022/9/1,5.00 ,5.00 ,4.80 ,5.00 ,5.00 ,5.00 ,5.00 
245,2021/9/4,2022/9/5,4.83 ,4.77 ,4.94 ,4.88 ,4.95 ,4.91 ,4.72 
246,2019/8/8,2022/9/2,4.64 ,4.78 ,4.43 ,4.65 ,4.83 ,4.48 ,4.65 
247,2021/3/30,2022/9/4,4.73 ,4.84 ,4.84 ,4.84 ,4.54 ,4.62 ,4.68 
248,,,,,,,,,
249,2022/8/15,2022/8/15,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.00 
250,2015/9/6,2019/8/17,4.89 ,5.00 ,4.67 ,5.00 ,5.00 ,4.78 ,4.78 
251,2022/7/14,2022/9/2,5.00 ,5.00 ,5.00 ,4.90 ,5.00 ,4.60 ,4.80 
252,2018/12/2,2022/6/30,4.84 ,4.97 ,4.59 ,4.93 ,4.97 ,4.93 ,4.79 
253,,,,,,,,,
254,2015/8/20,2022/8/23,4.79 ,4.85 ,4.76 ,4.93 ,4.68 ,4.66 ,4.77 
255,,,,,,,,,
256,2016/1/5,2016/1/5,4.00 ,4.00 ,2.00 ,5.00 ,5.00 ,5.00 ,4.00 
257,2016/6/6,2020/2/3,4.93 ,4.93 ,4.81 ,4.96 ,4.92 ,4.84 ,4.76 
258,,,,,,,,,
259,2019/4/10,2019/9/1,4.50 ,4.75 ,4.63 ,4.88 ,4.88 ,4.13 ,4.63 
260,,,,,,,,,
261,2021/9/19,2022/9/5,4.74 ,4.77 ,4.72 ,5.00 ,5.00 ,4.87 ,4.81 
262,2017/8/27,2017/8/27,5.00 ,5.00 ,3.00 ,5.00 ,5.00 ,5.00 ,5.00 
263,2019/5/27,2019/5/27,5.00 ,5.00 ,5.00 ,4.00 ,4.00 ,5.00 ,5.00 
264,2020/12/9,2021/2/28,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
265,2018/9/7,2018/12/2,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
266,2021/9/18,2022/1/1,5.00 ,5.00 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 
267,2018/3/25,2021/9/15,5.00 ,5.00 ,4.89 ,5.00 ,5.00 ,4.56 ,4.89 
268,2018/7/1,2022/7/17,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,4.75 
269,2021/11/6,2022/5/28,4.47 ,4.70 ,4.63 ,4.80 ,4.67 ,4.60 ,4.67 
270,2019/4/17,2022/8/18,4.79 ,4.86 ,4.82 ,4.92 ,4.96 ,4.68 ,4.77 
271,2022/6/8,2022/6/18,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
272,,,,,,,,,
273,2017/1/2,2017/5/27,4.50 ,5.00 ,4.50 ,5.00 ,5.00 ,5.00 ,5.00 
274,2018/12/2,2022/8/21,4.78 ,4.83 ,4.81 ,4.92 ,4.93 ,4.33 ,4.76 
275,2020/10/11,2021/2/15,2.50 ,3.25 ,3.00 ,3.25 ,2.75 ,3.50 ,2.50 
276,2019/7/25,2019/8/29,4.88 ,4.75 ,5.00 ,4.88 ,5.00 ,4.50 ,5.00 
277,,,,,,,,,
278,2021/9/21,2022/8/31,4.71 ,4.79 ,4.76 ,4.79 ,4.71 ,4.71 ,4.38 
279,,,,,,,,,
280,2022/3/8,2022/9/6,4.96 ,4.98 ,5.00 ,4.96 ,5.00 ,4.98 ,4.96 
281,2015/8/11,2022/8/21,4.80 ,4.84 ,4.83 ,4.88 ,4.84 ,4.60 ,4.79 
282,2015/4/5,2017/6/22,4.80 ,4.86 ,4.71 ,4.93 ,5.00 ,4.71 ,4.71 
283,,,,,,,,,
284,2017/8/14,2020/10/18,4.97 ,4.97 ,4.97 ,5.00 ,5.00 ,4.97 ,4.77 
285,2021/2/24,2022/7/9,4.43 ,4.71 ,4.14 ,5.00 ,5.00 ,4.71 ,4.29 
286,2022/5/18,2022/6/26,5.00 ,4.75 ,4.75 ,4.75 ,4.75 ,4.75 ,4.75 
287,2015/9/16,2015/9/16,5.00 ,5.00 ,4.00 ,4.00 ,5.00 ,5.00 ,5.00 
288,2019/3/10,2022/9/3,4.97 ,4.96 ,4.93 ,4.99 ,4.99 ,4.83 ,4.85 
289,,,,,,,,,
290,2018/10/6,2022/8/22,4.95 ,4.94 ,4.94 ,4.97 ,4.93 ,4.97 ,4.82 
291,2022/6/12,2022/6/12,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
292,2022/8/29,2022/9/4,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
293,2022/9/7,39,13.00 ,4.00 ,43693.00 ,44802.00 ,4.97 ,5.00 ,4.82 
294,2021/9/16,2022/6/24,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 ,5.00 
295,2016/4/16,2022/8/11,4.77 ,4.81 ,4.84 ,4.86 ,4.83 ,4.86 ,4.71 
