id,name,neighbourhood,building,street,zipcode,phone
46,LITTLE CAESARS,BROOKLYN,535,UTICA AVE,11203,3476632070
47,OLGA'S PIZZA,MANHATTAN,3409,BROADWAY,10031,2122347878
48,AMC THEATRES,QUEENS,21101,26 AVENUE,11360,7186310382
49,SUBWAY,BROOKLYN,572,ATLANTIC AVENUE,11217,7182228686
50,GREAT WALL,MANHATTAN,536,3RD AVE,10016,2127792828
51,FORTUNATO BROS CAFE & BAKERY,BROOKLYN,289,MANHATTAN AVENUE,11211,7183872281
52,UMI JAPANESE RESTAURANT  SUSHI BAR & TERIYAKI GRILL,QUEENS,9605,METROPOLITAN AVENUE,11375,7182613483
53,LA GUADALUPANA RESTAURANT,MANHATTAN,3825,BROADWAY,10032,2129285989
54,SOCIALE,BROOKLYN,72,HENRY ST,11201,7185763588
55,BURGER KING,QUEENS,21710,HILLSIDE AVENUE,11427,7187765954
56,JADE ASIAN RESTAURANT,QUEENS,13628,39 AVENUE,11354,7187628821
57,SAL'S PIZZA / MAMMA MARIA RESTAURANT,BROOKLYN,305,COURT STREET,11231,7188526890
58,ARNO RISTORANTE,MANHATTAN,141,WEST   38 STREET,10018,2129447420
59,BACK HOME BAKERY,BROOKLYN,936,BROOKLYN AVENUE,11203,7182873031
60,DUFFY'S,STATEN ISLAND,650,FOREST AVENUE,10310,7184479276
61,PARKETTE BROOKLYN,BROOKLYN,4022,5TH AVE,11232,7187557822
62,YURI SUSHI,MANHATTAN,374,W 46TH ST,10036,9179990120
63,ABACKY POTLUCK,MANHATTAN,253,W 26TH ST,10001,2129293809
64,BENTON CAFE,MANHATTAN,123,WILLIAM ST,10038,2126088850
65,THE BUFFET,QUEENS,2007,127 STREET,11356,7188863722
66,GRAND SICHUAN EASTERN,MANHATTAN,1049,2 AVENUE,10022,2123555855
67,MARKET PLACE (CENTERPLATE),MANHATTAN,655,WEST   34 STREET,10001,2122162426
68,BABBALUCCI'S,MANHATTAN,331,LENOX AVE,10027,6469186578
69,NAMASTE INDIAN CUISINE,QUEENS,3115,30 AVENUE,11102,7186262783
70,HAMILTONS,BROOKLYN,2826,FORT HAMILTON PARKWAY,11218,7184380488
71,FORTY CARROTS,MANHATTAN,504,BROADWAY,10012,2127295155
72,CARROLL PLACE,MANHATTAN,157,BLEECKER ST,10012,2122601700
73,LUCKY 13 SALOON,BROOKLYN,644,SACKETT ST,11217,7185960666
74,LINCOLN PARK BAR & GRILL,MANHATTAN,867,9 AVENUE,10019,2129742826
75,JIMMYS AMERICAN GRILL & BAR,MANHATTAN,990,6 AVENUE,10018,2122442211
76,CHEEBURGER CHEEBURGER,QUEENS,10850,QUEENS BOULEVARD,11375,7189978600
77,BAY TERRACE POOL CLUB,QUEENS,21714,24 AVENUE,11360,7184280100
78,CROWN FRIED CHICKEN,BROOKLYN,793,UTICA AVENUE,11203,3477870663
79,AVE NIDA,MANHATTAN,25,AVENUE B,10009,6466926216
80,TACO BELL,QUEENS,1997/1/1 00:00,ATLANTIC AVENUE,11421,7188059123
81,BUTTERMILK CHANNEL,BROOKLYN,524,COURT STREET,11231,7188528490
82,BARBUTO,MANHATTAN,775,WASHINGTON STREET,10014,2129249700
83,B.Q.E. CAFE BILLIARDS,QUEENS,7002,34 AVENUE,11372,7187794348
84,GOOD GOOD TASTE,BROOKLYN,5806,8 AVENUE,11220,7188337555
85,DOUBLE DRAGON,BRONX,4184,WHITE PLAINS ROAD,10466,7186542833
86,KING'S CHEF CHINESE RESTAURANT,BRONX,1095,PROSPECT AVE,10459,7186172988
87,NEW CHANG LE FAN DIAN,BROOKLYN,5604,8TH AVE,11220,7185673888
88,MADE FRESH DAILY,MANHATTAN,226,FRONT STREET,10038,2122852253
89,PRIME TAVERN/DELTA TERMINAL,QUEENS,,US AIRWAYS TERMINAL,11371,7186566210
90,THE AVENUE,BRONX,4352,KATONAH AVE,10470,3473469000
91,PITA PAN,QUEENS,3715,30 AVENUE,11103,7182041633
92,DUNKIN' DONUTS,BROOKLYN,2928,AVENUE X,11235,7187436555
93,EL VALLE RESTAURANTE,BRONX,3452,BOSTON RD,10469,7186551771
94,MCDONALDS,BRONX,279,E 149TH ST,10451,7182928812
95,SILVER SPOON DINER,QUEENS,5821,JUNCTION BLVD,11373,7183933000
96,CEMI CAFE,BROOKLYN,61,CHURCH AVENUE,11218,3477506960
97,BAGEL CAFE,BROOKLYN,200,CLINTON ST,11201,7188586358
98,CAPIZZI,MANHATTAN,547,9 AVENUE,10018,2126956900
99,HAANDI,MANHATTAN,113,LEXINGTON AVE,10016,2126855200
100,SOOKK THAI RESTAURANT,MANHATTAN,2686,BROADWAY,10025,2128700253
101,KFC,QUEENS,8719,JAMAICA AVENUE,11421,7188057233
102,RED 58,MANHATTAN,158,WEST   58 STREET,10019,2122450125
103,MARIA'S BISTRO MEXICANO,BROOKLYN,886,5 AVENUE,11232,7184381608
104,BHATTI INDIAN GRILL,MANHATTAN,100,LEXINGTON AVE,10016,2126834229
105,FUJI SUSHI BEDFORD,BROOKLYN,1185,BEDFORD AVENUE,11216,3479851198
106,MOJITO'S,MANHATTAN,227,EAST  116 STREET,10029,2128288635
107,DONUT SHOPPE,BROOKLYN,1503,AVENUE U,11229,7189341975
108,GOODY'S SPANISH FOOD,STATEN ISLAND,201,PORT RICHMOND AVENUE,10302,7189814650
109,EL PARAISO RESTAURANT,BRONX,231,BROOK AVE,10454,9177018109
110,SUNSET DINER,BROOKLYN,593,MEEKER AVE,11222,7183492777
111,RED MANGO,BROOKLYN,6604,18TH AVE,11204,7189757300
112,POTBELLY SANDWICH WORKS,MANHATTAN,150,EAST   52 STREET,10022,6462894208
113,JERRY'S 637 DINER,STATEN ISLAND,637,BAY STREET,10304,7188767685
114,POPEYES LOUISIANA KITCHEN,BRONX,360,BAYCHESTER AVENUE,10475,7183203600
115,SMOOCHA,MANHATTAN,315,5TH AVE,10016,2129679635
116,CAFE VIA ESPRESSO,QUEENS,2409,STEINWAY STREET,11103,7185453290
117,XTRA CHEESE PIZZERIA,QUEENS,14720,NORTHERN BOULEVARD,11354,7189613122
118,LOS MISMO RESTAURANT,QUEENS,10411,ROOSEVELT AVENUE,11368,7183358704
119,HOT BIALYS & BAGELS,QUEENS,11663,QUEENS BOULEVARD,11375,7185440900
120,HEALTHY FRESH,BRONX,621,EAST  187 STREET,10458,7186187200
121,CAFE DADA,BROOKLYN,57,7 AVENUE,11217,7186222800
122,STEAK AND HOAGIES,MANHATTAN,1657,MADISON AVE,10029,9174925001
123,REAL MADRID RESTAURANT,STATEN ISLAND,2073,FOREST AVENUE,10303,7184477885
124,THE BELL HOUSE,BROOKLYN,149,7 STREET,11215,7186436510
125,CAPRI BAKERY,MANHATTAN,186,EAST  116 STREET,10029,2124101876
126,FUEL GRILL AND JUICE BAR,MANHATTAN,683,9TH AVE,10036,2126494664
127,SARGE'S,MANHATTAN,548,3 AVENUE,10016,2126790442
128,ANOPOLI FAMILY RESTAURANT,BROOKLYN,6920,3 AVENUE,11209,7187483863
129,CHINA BLUE,MANHATTAN,451,WASHINGTON ST,10013,2124310111
130,ISTRIA SPORT CLUB,QUEENS,2809,ASTORIA BLVD,11102,7187283181
131,ALBERTA MEXICAN CUSINE,QUEENS,3781,103RD ST,11368,7188990330
132,510 11ST BAR,MANHATTAN,510,EAST   11 STREET,10009,2129824929
133,CROWN FRIED CHICKEN & PIZZA,BROOKLYN,580,ALBANY AVENUE,11203,7185766070
134,AMERICA GOURMET FOOD,MANHATTAN,831,6 AVENUE,10001,2128689790
135,ARTURO'S PIZZA,BRONX,5189A,BROADWAY,10463,7185623820
136,BAREBURGER,BROOKLYN,145149,COURT ST,11201,3475296673
137,EUROPA CAFE,MANHATTAN,599,LEXINGTON AVENUE,10022,2127556622
138,ROY'S RESTAURNT & BAR,BRONX,880,EAST TREMONT AVE,10460,9174718937
139,SUMA SUSHI,MANHATTAN,964,AMSTERDAM AVENUE,10025,2122805858
140,UNION GROUNDS,BROOKLYN,270,SMITH STREET,11231,3477631935
141,DAMAS FALAFEL HOUSE,BROOKLYN,407,MYRTLE AVENUE,11205,7188526677
142,TWO BOOTS,MANHATTAN,2547,BROADWAY,10025,2122802668
143,AVENUE X PIZZA & GRILL,BROOKLYN,2201,AVENUE X,11235,7187698200
144,LATIN BAKERY,QUEENS,4141,MAIN STREET,11355,7189618900
145,DARO'S PIZZA AND CHICKEN,QUEENS,6814,ROOSEVELT AVENUE,11377,7184244466
146,WESTSIDE COFFEE SHOP RESTAURANT,MANHATTAN,323,CHURCH STREET,10013,2123340185
147,SUSHI DAMO,MANHATTAN,330,WEST   58 STREET,10019,2127078609
148,SOUTHEAST BAKERY,BROOKLYN,6821,FORT HAMILTON PARKWAY,11219,7186801188
149,MCDONALD'S,MANHATTAN,280,MADISON AVE,10016,2125761539
150,RAMEN YEBISU/BAOBURG,BROOKLYN,126,NORTH    6 STREET,11249,7187821444
151,RED FLAME DINER,MANHATTAN,67,WEST   44 STREET,10036,2128693965
152,HO MAY NY,BROOKLYN,69,KINGSLAND AVE,11211,7183899788
153,MAKANA,MANHATTAN,161,W. 106TH STREET,10025,2126784569
154,ANATOLIAN GYRO RESTAURANT,BROOKLYN,2623,E 16TH ST,11235,7187694754
155,NOT JUST PIZZA,BROOKLYN,1286,FULTON STREET,11216,7187838015
156,RIVIERA,QUEENS,3448,STEINWAY STREET,11101,7189376664
157,PADDY QUINNS,QUEENS,4207,162 STREET,11358,7183599820
158,NYCS FRIED CHICKEN,BROOKLYN,844,JAMAICA AVE,11208,7184840342
159,JEAN CLAUDE FRENCH BISTRO,MANHATTAN,1343,2 AVENUE,10021,2122493400
160,LA NUEVA ESPANA RESTAURANT,MANHATTAN,606,W 207TH ST,10034,2125670500
161,RESERVE CUT,MANHATTAN,40,BROAD ST,10004,2127470300
162,BRIOSO RISTORANTE,STATEN ISLAND,174,NEW DORP LANE,10306,7186671700
163,GRAFFITI,MANHATTAN,224,EAST   10 STREET,10003,2124647743
164,ANTONIO'S PIZZA,BROOKLYN,318,FLATBUSH AVENUE,11238,7183982033
165,WOOD BINE CATERERS,BROOKLYN,2281,CHURCH AVENUE,11226,7186936404
166,SUBWAY,QUEENS,56-53,MYRTLE AVE,11385,7184175495
167,MYRTLE BAGEL,BROOKLYN,410,MYRTLE AVE,11205,7188584916
168,VIEW OF THE WORLD TERRACE CLUB,MANHATTAN,140,WASHINGTON STREET,10006,6467463200
169,TINA'S CUBAN CUISINE,MANHATTAN,179,MADISON AVENUE,10016,2126793500
170,"DUNKIN' DONUTS, BASKIN ROBBINS, SUBWAY",MANHATTAN,302,5 AVENUE,10001,2122680686
171,HOWL AT THE MOON BAR & GRILL,BRONX,585,EAST  189 STREET,10458,7185617694
172,SUBWAY,MANHATTAN,29,E 8TH ST,10003,3472681222
173,AURORA SOHO,MANHATTAN,510,BROOME STREET,10013,2123349020
174,YIASOU,BROOKLYN,2003,EMMONS AVENUE,11235,7183326064
175,CAGEN,MANHATTAN,414,EAST 9 STREET,10009,2123588800
176,MOM'S COOKING,MANHATTAN,33,EAST    8 STREET,10003,2126747687
177,QUE RICO TACO,QUEENS,3307,89TH ST,11372,7186394202
178,SNAFU,MANHATTAN,127,EAST   47 STREET,10017,2123179100
179,ZOO BREWS-BRONX ZOO,BRONX,2300,SOUTHERN BOULEVARD,10460,7182207937
180,CHARLES PAN FRIED CHICKEN,MANHATTAN,2461,FREDERICK DOUGLASS BLVD,10027,2122811800
181,DJERDAN,BROOKLYN,2283,65 STREET,11204,7184843180
182,ACTION BURGER,BROOKLYN,292,GRAHAM AVENUE,11211,7185994376
183,LCZ RESTAURANT,BROOKLYN,4610,8 AVENUE,11220,7183627888
184,NEW YANKEE SK PIZZA,BRONX,1616,WESTCHESTER AVENUE,10472,7183784488
185,THE GLOBE BAR & GRILL,MANHATTAN,158,EAST   23 STREET,10010,2124776161
186,NEW IMPERIAL KITCHEN,BROOKLYN,1120,FULTON STREET,11238,7188579998
187,BLUE MARBLE ICE CREAM,BROOKLYN,186,UNDERHILL AVENUE,11238,7183996926
188,NEW FOO SHUN RESTAURANT,BROOKLYN,2538,PITKIN AVENUE,11208,7188277996
189,BROOKLYN SAFE HOUSE,BROOKLYN,120,FRANKLIN ST,11222,7183896895
190,KINGS PIZZERIA,BROOKLYN,5011,AVENUE N,11234,7185133218
191,BEDAWI CAFE,BROOKLYN,266,PROSPECT PARK WEST,11215,7184993444
192,THE PARLOUR,MANHATTAN,250,WEST   86 STREET,10024,2125808923
193,CAFE G,MANHATTAN,315,5 AVENUE,10016,2126852304
194,ZHIQING ACTIVITY CENTER,QUEENS,13525,NORTHERN BLVD,11354,3475397888
195,TAQUERIA RESTAURANTE MI BARIO,BROOKLYN,3415,14 AVENUE,11218,7189729669
196,NEW SOLDIERS RESTAURANT,BROOKLYN,1278,NOSTRAND AVENUE,11226,7182844620
197,RENATO'S PASTRY SHOP,STATEN ISLAND,1646,FOREST AVENUE,10302,7184426838
198,ORIENTAL GARDEN RESTAURANT,MANHATTAN,14,ELIZABETH STREET,10013,2126190085
199,GIOVANNI'S PIZZA & MEXICAN RESTAURANT,QUEENS,4559,47 STREET,11377,7186091630
200,CAFE HENRIE,MANHATTAN,116,FORSYTH ST,10002,2022108019
201,LOUIE'S PIZZERIA,QUEENS,8134,BAXTER AVENUE,11373,7184409346
202,CHECKERS,BROOKLYN,111,COURT ST,11201,7187975333
203,CARAVAN OF DREAMS,MANHATTAN,405,EAST    6 STREET,10009,2122541613
204,CROWN FRIED CHICKEN,MANHATTAN,3351,BROADWAY,10031,2122831957
205,EL DIABLITO TAQUERIA,MANHATTAN,60,EAST    3 STREET,10003,6463237968
206,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300
207,THE SUMMIT,MANHATTAN,133,AVENUE C,10009,3474657911
208,MULDOONS BAR,MANHATTAN,692,3 AVENUE,10017,2125992750
209,CENT'ANNI,BROOKLYN,742,FRANKLIN AVE,11238,7189425201
210,LUKE'S PIZZA,BRONX,1226,SOUTHERN BOULEVARD,10459,7186187053
211,MINHUI SNACK,BROOKLYN,5919,7 AVENUE,11220,7185677789
212,CARVEL ICE CREAM,STATEN ISLAND,480,FOREST AVENUE,10310,7184479563
213,LUCY'S WHEY,MANHATTAN,1417,LEXINGTON AVE,10128,2122898900
214,DOSA DELIGHT,QUEENS,3566,73 STREET,11372,7183971000
215,STARBUCKS,MANHATTAN,2853,BROADWAY,10025,2122807268
216,PAPA JOHN'S,BROOKLYN,529,STANLEY AVENUE,11207,7182727272
217,VIVI BUBBLE TEA,MANHATTAN,65,W 8TH ST,10011,2126581588
218,FORTUNE COOKIES,BROOKLYN,9004,AVENUE B,11236,7184980848
219,LOS ARRIEROS RESTAURANT,QUEENS,7602,ROOSEVELT AVENUE,11372,7188983359
220,CITYSCAPES NY,QUEENS,5561,58 STREET,11378,7183668900
221,POPEYES LOUISIANA KITCHEN/DUNKIN DONUTS,MANHATTAN,321,WEST  125 STREET,10027,2129329636
222,SMILING PIZZA,BROOKLYN,323,7 AVENUE,11215,7187882137
223,FLAMINGO RESTAURANT AND MANTRA LOUNGE,QUEENS,1200406,ROCKAWAY BLVD,11420,7188351000
224,BAY PLAZA JAVA,BRONX,200,BAYCHESTER AVE,10475,7183797700
225,10TH AVENUE COOKSHOP,MANHATTAN,156,10 AVENUE,10011,2129244440
226,LE VEAU DOR,MANHATTAN,129,EAST   60 STREET,10022,2128388133
227,LA SALLE BAKERY,BRONX,3139,EAST TREMONT AVENUE,10461,7188234218
228,A SAFFRON THREAD,MANHATTAN,98,CHAMBERS STREET,10007,2126760313
229,AUNTIE ANNE'S PRETZELS,STATEN ISLAND,2655,RICHMOND AVE,10314,7186983360
230,BOSTON MARKET,MANHATTAN,3781,BROADWAY,10032,5164280840
231,LUCKY CAT,MANHATTAN,232,E 53RD ST,10022,2128385333
232,DESTINY/NORTH RIVER LOBSTER,MANHATTAN,PIER 83,@ WEST 43 STREET,10036,2126308187
233,ZONI CAFE,MANHATTAN,22,W 34TH ST,10001,2127369000
234,BAKER STREET PUB,MANHATTAN,1152,1 AVENUE,10065,2126889663
235,PONGSRI THAI RESTAURANT,MANHATTAN,244,WEST   48 STREET,10036,2125823392
236,PEKING KITCHEN,BRONX,724,LYDIG AVENUE,10462,7188297464
237,KENNEDY FRIED CHICKEN AND PIZZA,BROOKLYN,986,RUTLAND RD,11212,7184841017
238,CORNER CAFE,MANHATTAN,2518,BROADWAY,10025,2122801900
239,JUST COMBO RESTAURANT,QUEENS,2101,21ST AVE,11105,6469208925
240,TUGBOAT TEA COMPANY,BROOKLYN,546,FLATBUSH AVENUE,11225,9292343210
241,SULTAN RESTAURANT AND CAFE LOUNGE,BROOKLYN,144,ATLANTIC AVE,11201,7184888886
242,NEW UNIVERSITY DELI,MANHATTAN,603,WEST  168 STREET,10032,2125683838
243,CANTINA,MANHATTAN,1838,ADAM CLAYTON POWELL JR BL,10026,6467558864
244,STARBUCKS,MANHATTAN,111,WORTH STREET,10013,2129648846
245,VEGETARIAN GINGER,BROOKLYN,128,MONTAGUE STREET,11201,7182461288
246,KUM KAU KITCHEN,BROOKLYN,463,MYRTLE AVENUE,11205,7186381850
247,FRANCESCO'S PIZZERIA & TRATTORIA,BROOKLYN,529,HENRY STREET,11231,7188340863
248,HUNGRY GHOST COFFEE BAR AND CAFE,BROOKLYN,253,FLATBUSH AVENUE,11217,7184838666
249,GRK,MANHATTAN,451,LEXINGTON AVE,10017,2122048598
250,CHINA GARDEN RESTAURANT,BROOKLYN,206,JAMAICA AVENUE,11207,7186470520
251,DUNKIN' DONUTS,MANHATTAN,818,6TH AVE,10001,2123959280
252,GOOGLE-TRUCK PIT,MANHATTAN,111,8 AVENUE,10011,2125659548
253,EL PASO RESTAURANTE MEXICANO,MANHATTAN,1643,LEXINGTON AVENUE,10029,2128319831
254,SUBWAY,MANHATTAN,126,WEST   41 STREET,10036,9176811472
255,THE BEAN,MANHATTAN,54,2ND AVE,10003,2122285020
256,PINE BAR & GRILL,BRONX,1634,EASTCHESTER ROAD,10461,7183190900
257,CINNABON/STRAWBERRY ICE COLD,BROOKLYN,5174,KINGS PLAZA MALL,11234,7182520595
258,EL BLOQUE DELI,QUEENS,13207,JAMAICA AVE,11418,7187390330
259,BURGERFI,MANHATTAN,240,EAST   82 STREET,10028,6466843172
260,GUH SUNG CHINESE RESTAURANT,QUEENS,4546,BELL BLVD,11361,7182811810
261,AMBASSADOR DINING ROOM  AT SARATOGA FAMILY INN,QUEENS,17515,ROCKAWAY BOULEVARD,11434,7182441375
262,MCDONALD'S,QUEENS,7269,KISSENA BOULEVARD,11367,7182634295
263,HANJAN,MANHATTAN,36,WEST   26 STREET,10010,2122067226
264,PEPE GIALLO,MANHATTAN,195,10TH AVE,10011,2122426055
265,LEE'S TAVERN,STATEN ISLAND,60,HANCOCK STREET,10305,7186679749
266,HONG KONG KITCHEN,BRONX,30,W 183RD ST,10453,7185629059
267,JUNGLE CAFE,BROOKLYN,996,MANHATTAN AVE,11222,3479874981
268,NICKY'S PIZZA,BROOKLYN,1750,BATH AVENUE,11214,7182363339
269,BED-STUY FISH FRY,BROOKLYN,193,SCHERMERHORN STREET,11201,3473350777
270,RUDY'S DELI RESTAURANT,QUEENS,5430,48 STREET,11378,7189377168
271,ANTOJITOS ECUATORIANOS,BROOKLYN,3398,FULTON ST,11208,6462770970
272,WU LIANG YE RESTAURANT,MANHATTAN,36,WEST   48 STREET,10036,2123982308
273,BURGER KING,MANHATTAN,1419,ST NICHOLAS AVENUE,10033,2129274787
274,MI MEXICO LINDO,BRONX,587,SOUTHERN BLVD,10455,3472717830
275,VIXENS,QUEENS,6007,METROPOLITAN AVENUE,11385,7188217222
276,NEW DAWN RESTAURANT,QUEENS,4021,22 STREET,11101,7187865673
277,LITE BITES CAFE AND GRILL,QUEENS,3191,STEINWAY STREET,11103,7187281133
278,AU BON PAIN,QUEENS,7901,BROADWAY,11373,7187792033
279,HAN BAT RESTAURANT,MANHATTAN,53,WEST   35 STREET,10001,2126295588
280,NEW VICTORY RESTAURANT,BROOKLYN,4803,5 AVENUE,11220,7184312938
281,NORMA'S,QUEENS,5902,CATALPA AVENUE,11385,3472940185
282,BAGELS N BUNS,STATEN ISLAND,2491,VICTORY BOULEVARD,10314,7187611900
283,DOMINO'S,QUEENS,12521,ROCKAWAY BOULEVARD,11420,7188353030
284,INGAPIRCA RESTAURANT (ECUA-MEX),BRONX,1766,WESTCHESTER AVENUE,10472,7188236846
285,HUNGRY GHOST COFFEE BAR AND CAFE,BROOKLYN,253,FLATBUSH AVENUE,11217,7184838666
286,ROSELLA'S PIZZERIA,MANHATTAN,164,WILLIAM STREET,10038,2126128260
287,ARTHUR AVENUE CATERS,BRONX,611,CRESCENT AVENUE,10458,7182955033
288,XI'AN FAMOUS FOODS,QUEENS,4110,MAIN ST,11355,7188887713
289,PAPA JOHN'S,BROOKLYN,9058,FORT HAMILTON PARKWAY,11209,7184927272
290,PATRIZIAS OF BROOKLYN,MANHATTAN,462,2ND AVE,10016,2125979999
291,BASSETT CATERERS,BROOKLYN,1404,AVENUE X,11235,7183329000
292,CHANG LE XIN FAN ZHUANG,MANHATTAN,36,ELDRIDGE STREET,10002,2122192228
293,CROWN FRIED CHICKEN,BROOKLYN,332,CENTRAL AVE,11221,3475334461
294,SOOKK THAI RESTAURANT,MANHATTAN,2686,BROADWAY,10025,2128700253
295,ARS NOVA THEATER,MANHATTAN,511,WEST   54 STREET,10019,2124899800
296,PAINTING WITH A TWIST,STATEN ISLAND,2271,HYLAN BLVD,10306,7189797928
297,ARTURO'S PIZZA,MANHATTAN,1610,YORK AVE,10028,2122882430
298,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,QUEENS,22324,S CONDUIT AVE,11413,7183411600
299,MANNA'S SOUL FOOD,MANHATTAN,70,WEST 125 STREET,10027,2128281230
300,WENDY'S,MANHATTAN,3939,BROADWAY,10032,9735976433
301,THE OLD SIAM RESTAURANT AND BAR,QUEENS,6912,AUSTIN ST,11375,7185446444
302,NIKE'S PIZZERIA,BRONX,625,E 189TH ST,10458,3472972132
303,BURGER KING,MANHATTAN,1419,ST NICHOLAS AVENUE,10033,2129274787
304,SCIENCE CAFE (QUEENSBOROUGH  COMMUNITY COLLEGE),QUEENS,22205,56 AVENUE,11364,7182815125
305,CENTRAL STATION,BROOKLYN,84,CENTRAL AVE,11206,7184839884
306,SUBWAY,BRONX,2009,WILLIAMSBRIDGE RD,10461,9177089280
307,BIRDBATH VANDY,MANHATTAN,140,E 45TH ST,10017,2122576434
308,CITY COLLEGE CAFETERIA,MANHATTAN,138,ST CONVENT AVE,10031,2126506771
309,E Noodle House,QUEENS,13620,ROOSEVELT AVE,11354,6467158153
310,BROADWAY BAGEL,MANHATTAN,2658,BROADWAY,10025,2126620231
311,EXPRESS BROOK LUNCH RESTAURANT,BRONX,502,EAST  138 STREET,10454,7185855880
312,K EMINENCE ROYAL LOUNGE,QUEENS,2118,CORNAGA AVE,11691,5164396153
313,CARVEL ICE CREAM,BRONX,3442,EAST TREMONT AVENUE,10465,7188227954
314,TRIBECA TAPHOUSE,MANHATTAN,363,GREENWICH STREET,10013,2125108939
315,CROWN FRIED CHICKEN,BROOKLYN,941,PENNSYLVANIA AVE,11207,7184848849
316,GOLDEN BIRD,BROOKLYN,1669,NOSTRAND AVENUE,11226,7186938810
317,THE SMILE NEWSSTAND,MANHATTAN,177,FRANKLIN ST,10013,9177283023
318,NASSAU BAR,MANHATTAN,118,NASSAU STREET,10038,2129620011
319,IZZYS BBQ,BROOKLYN,397,TROY AVE,11213,3474250524
320,UDON WEST,MANHATTAN,11,ST MARKS PLACE,10003,6466915269
321,CRIF DOGS,BROOKLYN,555,DRIGGS AVENUE,11211,7183023200
322,BLACK TAP,MANHATTAN,248,W 14TH ST,10011,2126757236
323,JENNY COFFEE SHOP #2,BROOKLYN,233,KINGSTON AVE,11213,7186049376
